trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,17,-34.62118338308041,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,5,14.537901244142054,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,7,24.904410261578104,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",25,11,3.0605783446387367,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-54.14228768633674,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,1,14.125832939153378,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,14,18.60378865760388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",30,14,-1.610340174865962,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,16,6.600504675548781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,9,5.697258561344904,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,3,-53.09651144670358,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,3,6.077785120885293,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,7.964911064637208,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,15,3.3109609594239457,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,3,-14.434294697347994,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,15,-0.14998307826364066,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,2,33.424704365279005,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
